#Gen gab gaB gAb gAB D D_prime r sigma2 sk2 delta X2 OR logOR dev_ab dev_aB dev_Ab dev_AB log_dev_ab log_dev_aB log_dev_Ab log_dev_AB recomb_diff anst_diff recomb_diff_pro anst_diff_pro pA pB ds_recomb ds_anst recomb
32 0.483573548735944 0.258313397815596 0.244855117896192 0.0132579355522672 -0.0568381705323815 -0.81086059850091 -0.29203221663081 0.475415783743287 0.451011903798431 -0.0244038799448559 -0.0513316570028593 0.101363669130144 -2.28904054462931 -0.0582014492854733 0.0261335442822154 0.0246036562639522 -0.00473769123312225 0.874578004513339 1.06202207567466 1.05828747512429 0.989150349466203 0.470315613183678 -0.013458279919404 0.849451670484045 0.0301531815274499 0.258113053448459 0.271571333367863 -0.0239938583059331 -0.0079952234994709 0.1
33 0.492511376408733 0.25425900071791 0.240448189216914 0.0127814336564423 -0.0548411148321123 -0.810988583806397 -0.285053880933367 0.473385893607631 0.447003401762848 -0.0263824918447825 -0.0557314702466606 0.102966983545457 -2.27334689024138 -0.0570272937755351 0.0248801462349091 0.0233653456360076 -0.00440944401777288 0.876945706670841 1.05896143956035 1.05527426139832 0.989898248861183 0.479729942752291 -0.013810811500996 0.856455789283357 0.0313977646440934 0.253229622873356 0.267040434374353 -0.0247432645018998 -0.00824476171385358 0.1
34 0.501178442139261 0.250325835166044 0.236167346821821 0.0123283758728733 -0.0529400721180473 -0.811112777270447 -0.278375849369562 0.471301884598525 0.443160259354431 -0.0281416252440942 -0.0597104025333284 0.10451358000375 -2.25843826383133 -0.0558674969775901 0.0237018842975376 0.0222027815094862 -0.00410798145148066 0.879290747063722 1.05609231974037 1.0524531723196 0.99058561854935 0.488850066266387 -0.0141584883442232 0.863011298648033 0.0326568718385495 0.248495722694694 0.262654211038918 -0.0254926336222577 -0.00849427109963219 0.1
35 0.509585043244952 0.246509498297519 0.232008089481298 0.0118973689762308 -0.051129476454747 -0.811233310268402 -0.271980431993729 0.469167798799808 0.439466935980683 -0.0297008628191249 -0.0633054163033003 0.106006090409766 -2.24425872982474 -0.0547238563031044 0.0225935798156125 0.0211106809343532 -0.00383083585642378 0.881609261105722 1.05340064469537 1.04980994100884 0.991217963809727 0.497687674268721 -0.0145014088162216 0.869153582227469 0.0339303046387872 0.243905458457528 0.25840686727375 -0.0262419645466301 -0.00874375078614942 0.1
36 0.517741069891353 0.24280574483845 0.227966072758344 0.0114871125118528 -0.049404122172137 -0.81135031057478 -0.265851227264967 0.466987587649115 0.43590950779378 -0.0310780798553353 -0.0665501196975855 0.107447005415692 -2.23075752584278 -0.05359785342849 0.0215504420765916 0.0200841601317115 -0.00357578870748076 0.883897990538998 1.05087350376489 1.0473314864247 0.991800245126933 0.5062539573795 -0.0148396720801062 0.87491478332002 0.0352178684821831 0.239453185270197 0.254292857350303 -0.0269912561549196 -0.00899319990301028 0.1
37 0.525656015636849 0.239210484835945 0.224037107194418 0.0110963923327874 -0.047759139651623 -0.811463902225425 -0.259973012282265 0.464765095638254 0.432475505198106 -0.0322895904401484 -0.0694750762120069 0.108838682210287 -2.21788847272687 -0.0524906935392953 0.0205680384825615 0.0191187035590244 -0.00334084372236481 0.886154212781725 1.04849904318362 1.04500580644954 0.992336935193644 0.514559623304062 -0.0151733776415274 0.88032413627776 0.0365193726917255 0.235133499527205 0.250306877168733 -0.0277405073273168 -0.00924261758009026 0.1
38 0.533338988833387 0.235719780781558 0.220217155824146 0.0107240745609091 -0.0461899726127168 -0.811574205429575 -0.254331643573833 0.462504047467857 0.429153765376829 -0.0333502820910279 -0.0721080869964618 0.110183351963287 -2.20560946478926 -0.05140334014498 0.019642266867188 0.0182101352227718 -0.00312420299049377 0.888375677907801 1.04626637191029 1.04282188112276 0.992832069802915 0.522614914272478 -0.0155026249574124 0.885408261188967 0.0378346304420153 0.230941230385055 0.246443855342467 -0.0284897169443081 -0.00949200294754315 0.1
39 0.540798724641277 0.232329844252429 0.216502331152616 0.0103690999536779 -0.0446923568463482 -0.811681336522993 -0.248913967324127 0.460208038217291 0.425934298726648 -0.0342737394906431 -0.0744744477376131 0.111483126919465 -2.19388202760976 -0.0503365459279172 0.0187693298502908 0.0173545921233966 -0.00292424579109178 0.890560552466351 1.04416547631608 1.04076958504419 0.993289293271052 0.530429624687599 -0.0158275130998132 0.890191426123765 0.0391634587164897 0.226871431106294 0.242698944206107 -0.0292388838866839 -0.00974135513580765 0.1
40 0.548043597455604 0.22903703217815 0.212888891709634 0.0100304786566115 -0.0432623003336992 -0.811785407954891 -0.24370773804952 0.457880526128061 0.422808168107806 -0.0350723580202559 -0.0765971820571526 0.112740007141946 -2.18267093297989 -0.0492908800483338 0.0179457111170973 0.0165484997115379 -0.00273950979042936 0.892707369426899 1.04218714288357 1.03883960805993 0.993711898972169 0.538013118798993 -0.0161481404685167 0.894695780718968 0.0405056782571634 0.222919370366245 0.239067510834762 -0.0299880070355474 -0.00999067327561631 0.1
41 0.555081633575715 0.225837842825139 0.209373238278409 0.00970728532073647 -0.0418960646846898 -0.811886528302606 -0.238701544845518 0.455524827636432 0.419767379852428 -0.0357574477840045 -0.0784972533100732 0.113955886908506 -2.17194386241773 -0.0482667522872065 0.0171681535064419 0.0157885492322467 -0.00256867434348434 0.89481498360729 1.04032288814535 1.03702338342604 0.994102865509284 0.545374348254978 -0.0164646045467293 0.898941564427294 0.0418611135080473 0.219080523599146 0.235545128145875 -0.0307370852723211 -0.0102399564980024 0.1
42 0.561920523978401 0.222728911576173 0.205951909881423 0.00939865456400332 -0.0405901478276266 -0.811984802308906 -0.233884744426951 0.453144114327633 0.416804785522435 -0.036339328805198 -0.0801937565913607 0.11513256076775 -2.16167111214185 -0.0472644343719902 0.0164336387920579 0.0150716768342694 -0.00241054565693597 0.896882532006183 1.03856489516358 1.0353130227221 0.994464888994224 0.552521869414399 -0.0167770016947503 0.902947292357952 0.043229592553277 0.215350564445426 0.232127566140176 -0.0314861174787572 -0.0104892039343075 0.1
43 0.568567637080329 0.219707006570501 0.202621579593407 0.00910377675576289 -0.0393412678805231 -0.812080330937624 -0.22924740026923 0.450741411519059 0.413913993464405 -0.0368274180546537 -0.0817040926648837 0.116271729264509 -2.15182533357736 -0.0462840787955936 0.0157393690429888 0.0143950443238709 -0.00226404359859298 0.898909398520635 1.03690595591826 1.03370125685678 0.994800411860097 0.559463860324566 -0.0170854269770942 0.906729921284697 0.0446109470508684 0.21172535634917 0.228810783326264 -0.0322351025369438 -0.01073841471619 0.1
44 0.575030031396564 0.216769024259321 0.199379050240304 0.00882189410381107 -0.0381463481348492 -0.812173211443931 -0.224780227235229 0.448319598212804 0.411089289269286 -0.0372303089435188 -0.0830441254228788 0.117375004345496 -2.14238130443138 -0.0453257354073183 0.0150827494524702 0.0137560214464994 -0.00212818996341062 0.900895182582436 1.03533941903251 1.03218138257172 0.995111648585597 0.566208137292753 -0.0173899740190174 0.910304998088805 0.0460050121629229 0.208200944344115 0.225590918363132 -0.0329840393293144 -0.0109875879756314 0.1
45 0.581314468020113 0.213911984922304 0.196221250033455 0.00855229702412826 -0.037002503083661 -0.812263537456156 -0.220474541139739 0.445881408188481 0.408325564307485 -0.0375558438809961 -0.0842283243734635 0.118443914457544 -2.13331572616365 -0.0443893660254383 0.0144613725289828 0.0131521695844291 -0.00200209802847172 0.902839671294931 1.03385914231893 1.03074721390792 0.995400608669978 0.572762170995985 -0.0176907348888485 0.913686792633009 0.0474116264830005 0.204773547057584 0.222464281946432 -0.0337329267386549 -0.0112367228449454 0.1
46 0.587427422862802 0.211133028182953 0.193145228180033 0.0082943207742116 -0.0359070254279454 -0.81235139906651 -0.216322212762966 0.443429432035325 0.405618251572409 -0.0378111804629163 -0.0852698935417173 0.119479909351504 -2.12460704432631 -0.0434748572946969 0.0138730035482057 0.0125812267640104 -0.00188496324897742 0.904742814695362 1.03245944968105 1.02939303815209 0.995669117160872 0.579133102088588 -0.0179878000029198 0.916888416824203 0.0488306319612991 0.201439548954245 0.219427348957165 -0.0344817636481126 -0.011485818456784 0.1
47 0.593375098610776 0.208429408553858 0.190148150503598 0.00804734233176905 -0.0348573739974066 -0.812436882928491 -0.212315625877161 0.440966119948166 0.402963268126892 -0.0380028518212739 -0.086180888059475 0.120484364605376 -2.11623528878248 -0.0425820319880428 0.0133155671700451 0.012041093872043 -0.00177605496468235 0.906604703806871 1.03113509194997 1.0281135758279 0.995918833004126 0.585327756279007 -0.0182812580502601 0.919921931413535 0.0502618738282066 0.198195492835367 0.216476750885627 -0.0352305489412038 -0.0117348739441466 0.1
48 0.599163436358855 0.205798491037097 0.18722729510257 0.00781077750147681 -0.033851162524647 -0.812520072359109 -0.208447638896983 0.438493785134926 0.400356963506105 -0.0381368216288204 -0.0869723196124332 0.121458585880416 -2.10818193125777 -0.0417106589302894 0.0127871351305777 0.0115298219868642 -0.00167470900156276 0.908425551179485 1.0298812112774 1.02690394434045 0.996151265455178 0.59135265885738 -0.0185711959345273 0.922798441898968 0.0517052005167068 0.195038072604047 0.213609268538574 -0.0359792815018223 -0.0119838884403864 0.1
49 0.604798126897187 0.203237746800148 0.184380048069199 0.00758407823346488 -0.0328861492146459 -0.81260104744435 -0.204711549805438 0.436014607703979 0.397796073486655 -0.0382185342173237 -0.0876542518118366 0.122403812923952 -2.10042975804963 -0.0408604617019262 0.0122859149244682 0.0110456007358466 -0.0015803210670505 0.910205673650978 1.02869330874388 1.0257596249214 0.996367788764937 0.597214048663721 -0.018857698730949 0.925528184734346 0.053160463584084 0.191964126302664 0.210821825033613 -0.036727960214247 -0.0122328610792193 0.1
